"ID","SexistRemarks","GainPower","HarrisTherm","TrumpTherm","RFemale","RAge","RConservative"
209778,3,3,60,0,0,37,4
209806,3,3,40,0,0,24,6
209855,5,3,0,0,0,56,4
209893,4,1,60,15,0,29,2
209899,2,1,85,3,0,40,3
209905,3,3,50,50,1,59,3
209940,4,3,0,85,1,33,4
209969,3,2,0,85,0,75,7
209981,3,3,15,75,0,66,6
210022,3,4,20,70,0,43,4
210045,4,2,85,10,1,54,4
210063,4,1,70,0,0,78,4
210080,5,5,70,0,0,45,2
210092,1,1,0,100,1,29,6
210111,3,3,85,0,1,75,2
210135,2,1,80,0,0,44,2
210141,4,3,85,0,1,71,2
210159,3,3,85,0,0,76,3
210165,2,1,85,15,1,80,3
210177,1,1,85,15,1,79,2
210183,1,1,100,0,1,37,2
210201,1,1,85,0,1,54,3
210207,4,4,0,100,1,65,6
210213,3,3,85,0,1,53,4
210219,3,3,100,0,1,73,4
210225,4,1,85,0,0,80,2
210231,2,3,70,15,1,48,4
210237,4,2,0,85,1,59,6
210243,3,3,0,85,0,32,5
210249,1,2,100,0,1,64,1
210261,1,1,85,0,0,42,2
210267,4,3,75,0,0,73,5
210273,3,1,15,85,1,31,5
210297,3,2,0,85,0,54,6
210363,1,5,40,100,0,38,1
210387,1,1,85,0,1,21,1
210405,3,3,55,60,0,22,4
210440,4,3,0,85,1,35,6
210544,3,3,65,30,0,27,5
210602,3,1,0,60,1,73,6
210608,1,3,100,0,1,62,2
210614,1,1,30,0,1,18,1
210650,2,5,100,0,0,35,2
210698,4,5,0,70,1,35,7
210722,3,3,40,40,1,58,4
210728,4,3,0,75,1,65,6
210734,3,3,30,40,0,67,4
210741,1,1,100,0,1,29,1
210759,3,3,90,0,0,77,2
210765,3,2,80,0,1,50,4
210783,2,4,70,0,0,73,4
210854,4,3,0,85,0,77,5
210860,3,3,0,60,1,39,4
210913,2,3,85,0,0,26,2
210950,3,3,0,85,0,55,6
210956,1,1,50,50,1,35,2
210992,4,4,0,100,0,31,5
210998,3,3,50,60,0,19,4
211016,1,1,30,0,1,59,6
211022,3,4,0,85,1,33,5
211030,3,4,85,10,1,21,7
211093,4,3,100,85,0,47,3
211099,2,1,75,0,1,67,4
211111,3,1,80,0,1,61,2
211128,1,1,85,0,0,49,5
211134,2,2,85,0,1,72,3
211164,3,3,0,85,1,40,3
211176,4,3,50,50,1,28,4
211187,2,1,100,0,0,73,2
211193,2,2,15,70,0,68,6
211211,3,3,60,75,0,28,4
211223,1,2,100,0,1,46,1
211235,1,1,100,0,1,41,2
211241,1,1,100,0,0,26,2
211306,3,4,0,55,0,40,6
211336,2,1,85,0,1,66,4
211383,1,1,90,0,1,63,2
211389,3,3,15,60,0,76,6
