WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,weights,BedSize
994565,1,0,0,10,6,2,1,0,1,56,0.43,3
994566,1,0,0,12,12,2,0,0,1,45,1.49,3
994569,1,0,0,12,7,2,1,0,1,75,0.38,4
994570,0,0,0,10,10,6,0,0,0,75,0.9,3
994571,1,0,0,10,5,7,0,1,0,82,0.24,4
994575,1,0,0,9,8,4,1,0,1,62,1.73,2
994584,1,0,0,10,15,8,1,0,0,61,1.35,4
994587,1,0,0,12,7,2,1,0,0,36,0.33,3
994593,1,0,0,12,16,2,1,1,0,53,1.01,3
994596,1,0,0,12,5,6,0,1,0,60,0.17,3
994597,1,0,0,13,11,3,0,0,1,72,0.52,4
994598,1,0,0,11,4,5,1,0,1,38,1.57,3
994599,1,0,0,10,6,6,1,1,0,54,0.94,3
994601,1,0,0,14,7,6,0,0,1,61,0.59,4
994603,0,1,0,13,4,2,1,0,1,59,0.35,3
994882,1,0,0,13,5,1,0,0,1,70,0.08,4
994885,0,0,0,10,3,8,0,0,0,31,0.71,3
995903,1,0,0,9,9,2,1,0,1,59,2.46,3
995907,1,0,0,10,11,4,1,0,0,77,0.63,3
995908,1,0,0,9,4,8,1,1,0,70,2.7,3
995911,0,1,0,13,2,2,1,0,1,39,0.34,3
995913,1,0,0,12,16,5,1,1,0,56,0.56,2
995916,1,0,0,15,7,7,0,1,0,79,0.29,3
995922,1,0,0,13,11,3,1,0,1,73,0.34,3
995923,1,0,0,10,6,8,1,0,0,67,0.59,3
995924,1,0,0,6,4,4,1,0,0,80,1.6,3
995925,1,0,0,9,5,6,0,1,0,77,0.37,3
995927,1,0,0,11,1,8,1,0,1,60,0.19,4
995928,1,0,0,11,4,6,0,1,0,83,0.07,4
995929,1,0,0,10,9,4,0,1,0,77,0.45,3
995931,1,0,0,15,11,6,0,0,0,60,0.33,3
995932,1,0,0,9,4,6,1,1,0,65,0.68,4
995936,1,0,0,12,13,5,0,1,0,37,0.68,3
995937,1,0,0,12,4,4,0,0,0,57,0.45,4
