WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,StealShampoo,weights
993358,1,0,0,11,15,4,1,0,1,54,1,0.67
993360,0,0,0,12,6,4,0,0,1,77,1,0.3
993361,1,0,0,12,4,5,1,1,0,74,1,0.12
993365,1,0,0,12,6,6,0,0,0,56,1,0.06
993366,1,0,0,11,7,4,1,0,0,49,0,0.82
993369,1,0,0,13,6,4,0,0,1,36,1,0.14
993371,1,0,0,13,12,2,0,0,1,52,1,1.5
993372,1,0,0,15,15,6,0,1,0,36,1,1.57
993779,0,0,0,11,4,4,0,0,0,86,1,4.07
993780,0,1,0,11,6,2,1,0,1,51,1,0.99
993781,1,0,0,12,3,6,1,1,0,83,1,0.06
993786,1,0,0,13,9,5,1,1,0,69,1,1.01
993787,1,0,0,12,10,8,1,0,0,87,1,1.01
993788,1,0,0,10,10,3,1,0,1,35,1,0.6
993794,1,0,0,9,5,4,0,0,0,71,1,0.24
993798,1,0,0,13,6,2,1,0,0,35,1,0.43
993800,1,0,0,9,10,4,0,0,1,66,1,1.5
993804,0,1,0,9,3,5,1,0,1,70,1,0.67
994546,0,0,0,11,2,2,1,0,1,54,1,1.51
994549,0,1,0,15,13,4,1,0,1,71,1,0.67
994551,1,0,0,14,12,4,0,0,0,59,1,0.53
994552,1,0,0,9,5,8,1,0,0,60,1,1.39
994553,1,0,0,9,2,4,1,1,0,72,0,0.31
994560,1,0,0,10,2,5,0,0,0,60,1,0.11
994561,1,0,0,13,12,6,0,1,0,70,0,0.54
994562,1,0,0,12,3,2,0,0,0,57,1,0.07
994564,1,0,0,9,3,4,1,0,0,80,0,0.28
994565,1,0,0,10,6,2,1,0,1,69,1,0.43
994566,1,0,0,12,12,2,0,0,1,42,1,1.49
994569,1,0,0,12,7,2,1,0,1,46,1,0.38
994570,0,0,0,10,10,6,0,0,0,32,1,0.9
994571,1,0,0,10,5,7,0,1,0,72,1,0.24
994575,1,0,0,9,8,4,1,0,1,69,1,1.73
994584,1,0,0,10,15,8,1,0,0,51,1,1.35
994587,1,0,0,12,7,2,1,0,0,50,1,0.33
994593,1,0,0,12,16,2,1,1,0,88,0,1.01
994596,1,0,0,12,5,6,0,1,0,75,1,0.17
994597,1,0,0,13,11,3,0,0,1,69,1,0.52
994599,1,0,0,10,6,6,1,1,0,41,1,0.94
994601,1,0,0,14,7,6,0,0,1,66,1,0.59
994603,0,1,0,13,4,2,1,0,1,58,1,0.35
994882,1,0,0,13,5,1,0,0,1,56,1,0.08
995902,0,1,0,9,1,8,0,0,0,56,1,2.54
995903,1,0,0,9,9,2,1,0,1,53,1,2.46
995907,1,0,0,10,11,4,1,0,0,69,1,0.63
995908,1,0,0,9,4,8,1,1,0,62,1,2.7
995911,0,1,0,13,2,2,1,0,1,47,1,0.34
995913,1,0,0,12,16,5,1,1,0,67,1,0.56
995916,1,0,0,15,7,7,0,1,0,66,1,0.29
995922,1,0,0,13,11,3,1,0,1,80,1,0.34
995923,1,0,0,10,6,8,1,0,0,57,1,0.59
995924,1,0,0,6,4,4,1,0,0,68,1,1.6
995925,1,0,0,9,5,6,0,1,0,85,1,0.37
995927,1,0,0,11,1,8,1,0,1,80,1,0.19
995928,1,0,0,11,4,6,0,1,0,44,1,0.07
995929,1,0,0,10,9,4,0,1,0,61,1,0.45
995931,1,0,0,15,11,6,0,0,0,31,1,0.33
995932,1,0,0,9,4,6,1,1,0,76,1,0.68
995935,1,0,0,11,1,6,0,1,0,62,0,0.15
995936,1,0,0,12,13,5,0,1,0,47,1,0.68
995937,1,0,0,12,4,4,0,0,0,34,1,0.45
995938,1,0,0,9,2,7,1,0,0,61,1,0.15
995939,1,0,0,10,2,4,1,0,1,81,1,0.1
995941,1,0,0,12,11,6,0,0,0,77,1,1.32
995946,1,0,0,12,12,2,1,0,0,60,1,0.71
995948,1,0,0,9,4,6,1,1,0,56,0,1.3
995949,1,0,0,15,12,2,0,0,1,75,1,0.24
995951,0,0,0,10,4,4,0,0,1,50,1,0.89
995952,1,0,0,12,10,5,0,0,0,67,0,0.26
995956,1,0,0,12,11,4,1,1,0,64,1,1.11
995957,1,0,0,13,6,6,1,1,0,45,1,0.2
995959,1,0,0,12,5,6,0,1,0,80,1,0.16
995963,0,0,1,13,11,4,0,0,0,75,1,0.35
995964,1,0,0,10,6,4,1,0,1,72,1,0.63
996404,1,0,0,9,3,2,1,0,1,70,1,1.63
996407,1,0,0,9,3,8,1,0,0,82,0,1.47
996409,1,0,0,10,9,6,0,1,0,57,1,0.6
996412,1,0,0,12,6,2,1,0,1,42,1,0.1
996413,1,0,0,9,4,5,0,0,0,67,1,0.38
996418,1,0,0,11,2,6,0,1,0,74,0,0.1
996420,1,0,0,10,9,5,1,0,1,34,1,7.38
996421,1,0,0,10,10,1,0,0,0,31,1,0.78
996422,0,0,0,13,4,8,0,0,1,68,0,1.53
996425,1,0,0,10,7,4,1,1,0,46,1,0.7
996426,0,1,0,11,6,4,0,0,1,79,0,0.89
996430,1,0,0,12,7,3,0,0,1,72,1,0.13
996431,1,0,0,11,6,8,1,0,0,55,1,0.88
996434,1,0,0,13,3,1,0,0,1,68,1,0.06
996437,1,0,0,10,5,2,1,0,1,85,1,0.4
996438,1,0,0,15,12,2,1,0,0,67,1,1.37
996439,1,0,0,12,3,7,0,1,0,76,1,0.08
996443,1,0,0,12,5,2,0,0,1,58,1,0.19
996445,1,0,0,15,8,2,0,0,0,61,1,0.48
996446,0,0,0,13,3,4,1,0,1,63,0,0.38
996447,1,0,0,10,2,6,0,0,0,63,0,0.06
996448,0,1,0,10,3,5,1,1,0,52,0,0.21
996453,1,0,0,10,2,2,1,1,0,77,1,0.09
996454,1,0,0,13,4,2,1,0,1,62,1,0.1
996455,1,0,0,13,9,6,1,1,0,50,0,0.21
996457,1,0,0,11,11,6,0,1,0,45,1,1.18
996458,1,0,0,13,7,2,1,0,1,28,1,0.43
996460,1,0,0,9,5,6,1,1,0,72,1,0.99
996461,1,0,0,13,8,5,0,1,0,65,1,0.22
996738,1,0,0,10,1,4,0,0,0,70,1,0.49
996741,0,0,0,10,11,8,1,0,0,55,1,4.05
996743,1,0,0,15,7,6,0,1,0,59,1,0.11
996744,1,0,0,13,13,5,0,1,0,68,1,0.24
996748,0,0,1,12,10,4,0,1,0,67,1,0.18
996749,1,0,0,12,3,1,1,0,1,83,1,1.17
996751,1,0,0,9,3,6,1,1,0,65,1,0.42
996752,1,0,0,10,2,2,1,1,0,69,1,0.43
996754,1,0,0,10,5,8,0,0,1,67,1,0.16
996755,1,0,0,12,7,8,0,0,0,74,1,0.43
996756,0,0,0,10,3,8,1,0,1,51,1,1.29
996758,1,0,0,12,8,1,0,0,1,61,1,0.16
996759,1,0,0,10,2,4,0,0,0,62,1,0.08
996760,1,0,0,12,12,4,0,1,0,54,1,0.25
996762,1,0,0,10,3,2,0,0,0,51,0,0.26
996763,0,0,0,10,11,7,0,1,0,61,1,0.75
996952,1,0,0,8,2,4,1,0,1,64,0,7.14
996957,1,0,0,12,9,4,0,0,0,80,1,0.45
996958,1,0,0,12,6,6,0,1,0,39,1,0.64
996960,1,0,0,12,9,6,1,1,0,73,1,0.62
996961,1,0,0,13,9,2,0,0,1,47,1,0.12
996962,1,0,0,14,14,4,0,1,0,50,1,0.24
996963,1,0,0,13,15,5,1,1,0,88,1,0.38
996965,1,0,0,14,10,3,0,0,0,73,1,0.12
996968,1,0,0,10,9,6,1,1,0,31,1,0.72
996970,1,0,0,12,11,8,1,0,0,48,1,0.4
996971,0,1,0,13,8,2,1,0,1,36,1,0.86
